Array Size, Run Time, Cutoff
2000,0.7709774888888888,1000
2000,0.27567601967752764,1000
2000,0.08016164750751133,1000
2000,0.07571090089068498,1000
2000,0.057347378619010014,1000
2000,0.04909607841497088,1000
2000,0.04591075610106754,1000
2000,0.5864804782878973,1000
2000,0.33912740651644974,1000
2000,0.3213712037680823,1000
2000,0.2766868257930134,1000
2000,0.13446460307429806,1000
2000,0.7868962237162734,1000
2000,0.6688557309655137,1000
2000,0.12055194076506368,1000
2000,0.5367222568950216,1000
2000,0.12463848374135841,1000
2000,0.2028840791626498,1000
2000,0.2091645800320453,1000
2000,0.517845513435162,1000
2000,0.36699597242050563,1000
2000,0.1987976818555108,1000
2000,0.17915694665330759,1000
2000,0.7025972131017438,1000
2000,0.21446949669552456,1000
2000,0.37265746904966107,1000
2000,0.2838762930295275,1000
2000,0.4277087920430699,1000
2000,0.5576755936412087,1000
2000,0.21210310619639547,1000
2000,0.5729046690233678,1000
2000,0.39705062858782963,1000
2000,0.5558262821894514,1000
2000,0.4608939617314031,1000
2000,0.3532634606765996,1000
2000,0.3851204594807051,1000
2000,0.41421917094578287,1000
2000,0.4741797601579908,1000
2000,0.37458897193533064,1000
2000,0.40389538193987745,1000
2000,0.6443448711543931,1000
2000,0.5035645182704985,1000
2000,3.5816681500396057,1000
2000,1.9576865953518683,1000
2000,1.0129041661965177,1000
2000,1.5326185112544908,1000
2000,0.402402661473539,1000
2000,0.43007910447114067,1000
2000,0.4550209270008789,1000
2000,0.42826901616689916,1000
2000,0.4732276825363224,1000
2000,0.49546216081364086,1000
2000,0.488989694394024,1000
2000,0.44263231654433,1000
2000,0.5141508049181368,1000
2000,0.4543236168238978,1000
2000,0.5100840494924846,1000
2000,0.5020365278898228,1000
2000,0.45963632780040586,1000
2000,0.48588669399595924,1000
2000,0.525129005398741,1000
2000,0.5822686613903223,1000
2000,0.5199103398029852,1000
2000,0.526523861332337,1000
2000,0.551105094739154,1000
2000,0.5848819172345011,1000
2000,0.5289882398320213,1000
2000,0.526997905877647,1000
2000,0.549244072522199,1000
2000,0.6285437283249341,1000
2000,1.5371476514282636,1000
2000,1.6442688281905293,1000
2000,1.1878804960474314,1000
2000,1.1387727465320054,1000
2000,1.183151545986364,1000
2000,1.1207383687016839,1000
2000,1.220121456897093,1000
2000,1.167417013556905,1000
2000,1.2266684018601892,1000
2000,1.1788378580740935,1000
2000,1.2206660797648652,1000
2000,1.1318889580074007,1000
2000,2.017204423687655,1000
2000,1.258584166857827,1000
2000,1.1984982806509352,1000
2000,1.8290793133166474,1000
2000,1.8835665203231038,1000
2000,4.187119465372961,1000
2000,2.336812557634661,1000
2000,1.7498266592979173,1000
2000,2.3030476083314073,1000
2000,2.8226914144783066,1000
2000,1.9208577980299044,1000
2000,1.2611230435650869,1000
2000,1.3237400251235893,1000
2000,1.908374992486,1000
2000,4.598486398981945,1000
2000,3.195129473316516,1000
2000,2.484308413279216,1000
2000,1.2593207498256491,1000
2000,1.3418684139924528,1000
2000,1.3915364704652047,1000
2000,1.5061252487948498,1000
2000,1.3317992611791694,1000
2000,1.3348318036866587,1000
2000,1.5791326259425755,1000
2000,1.4173950064348069,1000
2000,1.910251793526611,1000
2000,1.7005387545583532,1000
2000,1.363836407783764,1000
2000,1.32649823737596,1000
2000,1.362563081405536,1000
2000,1.3255461040284784,1000
2000,1.3785131369505121,1000
2000,1.3736705264279236,1000
2000,1.3831715819296726,1000
2000,1.4145818820352398,1000
2000,1.3745677379397987,1000
2000,1.3466600041618637,1000
2000,1.3889741816295555,1000
2000,1.4310256820997131,1000
2000,1.3989767047891744,1000
2000,1.4489464599886301,1000
2000,1.8458326049882943,1000
2000,1.4321422982870289,1000
2000,1.470628460357137,1000
2000,1.4409224163403165,1000
2000,1.4941558937880268,1000
2000,1.4612175166017323,1000
2000,1.4629649273468615,1000
2000,1.494136216255166,1000
2000,1.4334782721570691,1000
2000,1.4796006492608698,1000
2000,1.5303421386622298,1000
2000,1.4881456170038014,1000
2000,1.4545020943127291,1000
2000,1.4968827494944679,1000
2000,1.4920441166320304,1000
2000,1.4993314832449345,1000
2000,1.530745749992572,1000
2000,1.4620715503416195,1000
2000,1.625866194023017,1000
2000,1.5242027402874019,1000
2000,1.5547511391578082,1000
2000,1.528610439497235,1000
2000,1.5597896280956716,1000
2000,1.5501161728865513,1000
2000,1.5479181394457353,1000
2000,1.5669242394213128,1000
2000,1.5560755062991583,1000
2000,2.73100703951195,1000
2000,3.436127474788967,1000
2000,3.6265328381791946,1000
2000,2.345200895850365,1000
2000,2.42980944828001,1000
2000,2.3721173936645497,1000
2000,2.347763293023527,1000
2000,2.3820063038640367,1000
2000,2.4024659042445142,1000
2000,3.1899380933607326,1000
2000,2.399218046554868,1000
2000,2.450143626657978,1000
2000,3.370050982779374,1000
2000,3.0233031485561215,1000
2000,2.554157866925591,1000
2000,3.6184422283795317,1000
2000,2.5193820290938023,1000
2000,2.9506405391042447,1000
2000,2.4369205438960058,1000
2000,2.459315693743562,1000
2000,2.5487628162146185,1000
2000,2.55614436165292,1000
2000,3.774584928401604,1000
2000,2.4996824752731657,1000
2000,3.307171572218694,1000
2000,2.531065358968573,1000
2000,2.5832918281229484,1000
2000,2.606090550925465,1000
2000,2.931207384512117,1000
2000,2.57473112145786,1000
2000,2.6631361508303457,1000
2000,3.0020363184792904,1000
2000,2.5377964444670704,1000
2000,2.555262694864405,1000
2000,3.0639088950584745,1000
2000,2.566746300710099,1000
2000,2.598630706297181,1000
2000,2.653106095540341,1000
2000,2.5500792405900676,1000
2000,2.6412738172231025,1000
2000,2.5690578849030428,1000
2000,2.6657220618784208,1000
2000,2.67231598517469,1000
2000,2.6171352519146223,1000
2000,3.018076440190392,1000
2000,2.6702786113119603,1000
2000,3.007227596336429,1000
2000,2.6587951111914174,1000
