Array Size,, Cutoff, Run Time,,
100000,,1000,158.3002026,,
100000,,1010,144.9986072,13.30159545,
100000,,1020,122.2469708,22.75163633,
100000,,1030,125.0350043,-2.78803345,
100000,,1040,134.8133316,-9.77832732,
100000,,1050,139.4392719,-4.62594033,
100000,,1060,114.5087657,24.93050624,
100000,,1070,126.8985041,-12.38973843,
100000,,1080,118.3771965,8.52130759,
100000,,1090,123.0827825,-4.70558594,
100000,,1100,153.1331468,-30.0503643,
100000,,1110,123.9273708,29.20577601,
100000,,1120,129.5605793,-5.63320848,
100000,,1130,127.9991805,1.56139873,
100000,,1140,134.2851783,-6.28599778,
100000,,1150,129.7792159,4.50596239,
100000,,1160,126.4678459,3.31136999,
100000,,1170,131.5944213,-5.1265754,
100000,,1180,118.8988299,12.69559138,
100000,,1190,153.0166703,-34.11784039,
100000,,1200,125.4857934,27.53087692,
100000,,1210,139.8502577,-14.36446425,
100000,,1220,138.4838209,1.36643678,
100000,,1230,123.9576853,14.52613563,
100000,,1240,128.3110809,-4.3533956,
100000,,1250,136.2606764,-7.94959551,
100000,,1260,116.0400227,20.22065362,
100000,,1270,127.6723715,-11.6323488,
100000,,1280,133.6458131,-5.97344159,
100000,,1290,130.1536952,3.49211795,
100000,,1300,126.2731555,3.88053971,
100000,,1310,127.1887362,-0.91558068,
100000,,1320,110.4798412,16.70889491,
100000,,1330,127.3073495,-16.82750822,
100000,,1340,121.41093,5.89641947,
100000,,1350,118.7579242,2.6530058,
100000,,1360,119.8460897,-1.08816553,
100000,,1370,124.0888976,-4.24280785,
100000,,1380,119.5399688,4.54892878,
100000,,1390,127.6716452,-8.13167636,
100000,,1400,123.1453226,4.52632251,
100000,,1410,121.8764797,1.26884297,
100000,,1420,118.033328,3.84315171,
100000,,1430,119.8772293,-1.84390137,
100000,,1440,124.3575917,-4.48036241,
100000,,1450,129.2314606,-4.87386889,
100000,,1460,129.023265,0.20819567,
100000,,1470,111.9795285,17.04373649,
100000,,1480,131.9400001,-19.96047162,
100000,,1490,129.1919534,2.74804667,
100000,,1500,138.7201413,-9.52818785,
100000,,1510,125.8048519,12.9152894,
100000,,1520,126.2588181,-0.4539662,
100000,,1530,130.6378454,-4.37902733,
100000,,1540,121.0978449,9.54000052,
100000,,1550,121.0455659,0.05227901,
100000,,1560,128.7539114,-7.70834553,
100000,,1570,47.42469335,81.32921805,
100000,,1580,43.09450701,4.33018634,
100000,,1590,45.91668436,-2.82217735,
100000,,1600,45.86127764,0.05540672,
100000,,1610,44.3692951,1.49198254,
100000,,1620,45.47274658,-1.10345148,
100000,,1630,44.22748311,1.24526347,
100000,,1640,49.19623067,-4.96874756,
100000,,1650,47.20016094,1.99606973,
100000,,1660,52.19217416,-4.99201322,
100000,,1670,50.65081465,1.54135951,
100000,,1680,46.25354292,4.39727173,
100000,,1690,52.98760762,-6.7340647,
100000,,1700,53.44232843,-0.45472081,
100000,,1710,48.78273785,4.65959058,
100000,,1720,53.44423961,-4.66150176,
100000,,1730,45.16569827,8.27854134,
100000,,1740,48.45268479,-3.28698652,
100000,,1750,52.82669085,-4.37400606,
100000,,1760,56.25251681,-3.42582596,
100000,,1770,56.55003036,-0.29751355,
100000,,1780,49.54319171,7.00683865,
100000,,1790,47.86288699,1.68030472,
100000,,1800,47.81293526,0.04995173,
100000,,1810,52.67287579,-4.85994053,
100000,,1820,56.69494537,-4.02206958,
100000,,1830,47.9542148,8.74073057,
100000,,1840,44.51764107,3.43657373,
100000,,1850,43.27137264,1.24626843,
100000,,1860,46.24874028,-2.97736764,
100000,,1870,46.11028873,0.13845155,
100000,,1880,42.96938438,3.14090435,
100000,,1890,44.40427823,-1.43489385,
100000,,1900,55.81898828,-11.41471005,
100000,,1910,46.50015621,9.31883207,
100000,,1920,52.78741989,-6.28726368,
100000,,1930,46.3684467,6.41897319,
100000,,1940,40.62613146,5.74231524,
100000,,1950,45.20547346,-4.579342,
100000,,1960,55.97661867,-10.77114521,
100000,,1970,54.05231003,1.92430864,
100000,,1980,56.56968876,-2.51737873,
100000,,1990,50.4641921,6.10549666,
100000,,2000,53.6550658,-3.1908737,
100000,,2010,65.02270501,-11.36763921,
100000,,2020,56.12066272,8.90204229,
100000,,2030,56.38838366,-0.26772094,
100000,,2040,56.40181485,-0.01343119,
100000,,2050,58.0180279,-1.61621305,
100000,,2060,53.59047694,4.42755096,
100000,,2070,50.28938221,3.30109473,
100000,,2080,54.08160898,-3.79222677,
100000,,2090,55.59765763,-1.51604865,
100000,,2100,50.83531093,4.7623467,
100000,,2110,56.40103204,-5.56572111,
100000,,2120,53.12362612,3.27740592,
100000,,2130,49.22399573,3.89963039,
100000,,2140,51.88213212,-2.65813639,
100000,,2150,54.65118419,-2.76905207,
100000,,2160,53.44289261,1.20829158,
100000,,2170,49.22669325,4.21619936,
100000,,2180,47.94756444,1.27912881,
100000,,2190,52.79351311,-4.84594867,
100000,,2200,49.16162836,3.63188475,
100000,,2210,51.2599676,-2.09833924,
100000,,2220,55.31404424,-4.05407664,
100000,,2230,53.26973298,2.04431126,
100000,,2240,49.68285978,3.5868732,
100000,,2250,55.78199876,-6.09913898,
100000,,2260,53.13205014,2.64994862,
100000,,2270,57.52329917,-4.39124903,
100000,,2280,59.63094398,-2.10764481,
100000,,2290,55.83437296,3.79657102,
100000,,2300,60.79122675,-4.95685379,
100000,,2310,55.6788195,5.11240725,
100000,,2320,50.16286675,5.51595275,
100000,,2330,50.62876551,-0.46589876,
100000,,2340,49.3467805,1.28198501,
100000,,2350,52.78824854,-3.44146804,
100000,,2360,49.70241944,3.0858291,
100000,,2370,49.07093173,0.63148771,
100000,,2380,63.73570226,-14.66477053,
100000,,2390,54.06333989,9.67236237,
100000,,2400,55.40884885,-1.34550896,
100000,,2410,56.5248923,-1.11604345,
100000,,2420,47.98391926,8.54097304,
100000,,2430,49.68997911,-1.70605985,
100000,,2440,52.18354209,-2.49356298,
100000,,2450,54.86296244,-2.67942035,
100000,,2460,47.19111279,7.67184965,
100000,,2470,51.72107077,-4.52995798,
100000,,2480,54.12052379,-2.39945302,
100000,,2490,56.05692015,-1.93639636,
100000,,2500,50.62504893,5.43187122,
100000,,2510,53.83287294,-3.20782401,
100000,,2520,61.61226373,-7.77939079,
100000,,2530,53.00777732,8.60448641,
100000,,2540,54.69214066,-1.68436334,
100000,,2550,49.42615106,5.2659896,
100000,,2560,56.56038672,-7.13423566,
100000,,2570,59.19678075,-2.63639403,
100000,,2580,52.96504366,6.23173709,
100000,,2590,56.09740763,-3.13236397,
100000,,2600,54.37364639,1.72376124,
100000,,2610,55.29070099,-0.9170546,
100000,,2620,50.32211565,4.96858534,
100000,,2630,48.45209239,1.87002326,
100000,,2640,49.07936633,-0.62727394,
100000,,2650,48.13808694,0.94127939,
100000,,2660,53.20782754,-5.0697406,
100000,,2670,51.10718217,2.10064537,
100000,,2680,56.54109858,-5.43391641,
100000,,2690,54.84930206,1.69179652,
100000,,2700,64.74721944,-9.89791738,
100000,,2710,54.52815259,10.21906685,
100000,,2720,52.39445996,2.13369263,
100000,,2730,49.54069518,2.85376478,
100000,,2740,53.17061938,-3.6299242,
100000,,2750,52.86271773,0.30790165,
100000,,2760,56.87695923,-4.0142415,
100000,,2770,58.36966111,-1.49270188,
100000,,2780,50.79248206,7.57717905,
100000,,2790,53.70362469,-2.91114263,
100000,,2800,52.87636048,0.82726421,
100000,,2810,50.3105357,2.56582478,
100000,,2820,53.08961268,-2.77907698,
100000,,2830,47.6817582,5.40785448,
100000,,2840,57.44425654,-9.76249834,
100000,,2850,54.37461609,3.06964045,
100000,,2860,55.79893143,-1.42431534,
100000,,2870,49.48146962,6.31746181,
100000,,2880,47.49319273,1.98827689,
100000,,2890,50.93305284,-3.43986011,
100000,,2900,49.23780068,1.69525216,
100000,,2910,51.87223416,-2.63443348,
100000,,2920,51.4176262,0.45460796,
100000,,2930,52.1908448,-0.7732186,
100000,,2940,53.43744116,-1.24659636,
100000,,2950,50.63107163,2.80636953,
100000,,2960,52.8061897,-2.17511807,
100000,,2970,52.49232881,0.31386089,
100000,,2980,57.23828589,-4.74595708,
100000,,2990,53.13595008,4.10233581,
100000,,3000,53.56768378,-0.4317337,
100000,,3010,55.00663625,-1.43895247,
100000,,3020,49.51444284,5.49219341,
100000,,3030,55.62868088,-6.11423804,
100000,,3040,55.31052865,0.31815223,
100000,,3050,53.72152001,1.58900864,
100000,,3060,53.37218585,0.34933416,
100000,,3070,47.83155344,5.54063241,
100000,,3080,57.62788538,-9.79633194,
100000,,3090,57.23501713,0.39286825,
100000,,3100,50.75308769,6.48192944,
100000,,3110,57.75181263,-6.99872494,
100000,,3120,54.52905529,3.22275734,
100000,,3130,14.09793162,40.43112367,
100000,,3140,12.32701843,1.77091319,
100000,,3150,10.49749325,1.82952518,
100000,,3160,10.23922243,0.25827082,
100000,,3170,12.20869427,-1.96947184,
100000,,3180,12.69357793,-0.48488366,
100000,,3190,11.71420884,0.97936909,
100000,,3200,12.74017979,-1.02597095,
100000,,3210,12.50988209,0.2302977,
100000,,3220,13.87740141,-1.36751932,
100000,,3230,9.00297538,4.87442603,
100000,,3240,11.32451415,-2.32153877,
100000,,3250,10.49797281,0.82654134,
100000,,3260,10.46855397,0.02941884,
100000,,3270,13.32097881,-2.85242484,
100000,,3280,9.17256654,4.14841227,
100000,,3290,13.79504418,-4.62247764,
100000,,3300,13.5614213,0.23362288,
100000,,3310,10.61124749,2.95017381,
100000,,3320,10.55852772,0.05271977,
100000,,3330,8.78422236,1.77430536,
100000,,3340,9.12586594,-0.34164358,
100000,,3350,12.43105455,-3.30518861,
100000,,3360,13.01940311,-0.58834856,
100000,,3370,8.82369784,4.19570527,
100000,,3380,8.67111693,0.15258091,
100000,,3390,13.29379556,-4.62267863,
100000,,3400,12.01792141,1.27587415,
100000,,3410,11.75649468,0.26142673,
100000,,3420,12.14049108,-0.3839964,
100000,,3430,15.56013566,-3.41964458,
100000,,3440,13.01604267,2.54409299,
100000,,3450,10.77295413,2.24308854,
100000,,3460,9.92230084,0.85065329,
100000,,3470,13.99457605,-4.07227521,
100000,,3480,9.56916547,4.42541058,
100000,,3490,9.31118381,0.25798166,
100000,,3500,12.42931968,-3.11813587,
100000,,3510,13.08088188,-0.6515622,
100000,,3520,13.17242478,-0.0915429,
100000,,3530,12.40142063,0.77100415,
100000,,3540,10.53538547,1.86603516,
100000,,3550,12.24516191,-1.70977644,
100000,,3560,11.24329586,1.00186605,
100000,,3570,11.46116735,-0.21787149,
100000,,3580,10.98558924,0.47557811,
100000,,3590,8.33879302,2.64679622,
100000,,3600,9.48812351,-1.14933049,
100000,,3610,11.87608827,-2.38796476,
100000,,3620,11.70695903,0.16912924,
100000,,3630,9.184217,2.52274203,
100000,,3640,8.74714821,0.43706879,
100000,,3650,9.8676593,-1.12051109,
100000,,3660,14.38247945,-4.51482015,
100000,,3670,9.96823273,4.41424672,
100000,,3680,15.63004198,-5.66180925,
100000,,3690,11.23268915,4.39735283,
100000,,3700,13.20101849,-1.96832934,
100000,,3710,10.43594747,2.76507102,
100000,,3720,8.77170093,1.66424654,
100000,,3730,10.92161042,-2.14990949,
100000,,3740,11.09433986,-0.17272944,
100000,,3750,12.78077306,-1.6864332,
100000,,3760,10.46741149,2.31336157,
100000,,3770,12.63553364,-2.16812215,
100000,,3780,8.78487118,3.85066246,
100000,,3790,11.27450248,-2.4896313,
100000,,3800,10.5565566,0.71794588,
100000,,3810,10.56683538,-0.01027878,
100000,,3820,11.02640114,-0.45956576,
100000,,3830,15.46708003,-4.44067889,
100000,,3840,10.71857707,4.74850296,
100000,,3850,13.06830051,-2.34972344,
100000,,3860,13.63163793,-0.56333742,
100000,,3870,10.26341902,3.36821891,
100000,,3880,13.63878548,-3.37536646,
100000,,3890,7.47819945,6.16058603,
100000,,3900,11.91169906,-4.43349961,
100000,,3910,8.57894284,3.33275622,
100000,,3920,12.38053159,-3.80158875,
100000,,3930,15.36465536,-2.98412377,
100000,,3940,11.30894258,4.05571278,
100000,,3950,12.62868934,-1.31974676,
100000,,3960,10.56614073,2.06254861,
100000,,3970,8.33851798,2.22762275,
100000,,3980,11.25512265,-2.91660467,
100000,,3990,10.64058876,0.61453389,
100000,,4000,8.01217445,2.62841431,
100000,,4010,15.60280937,-7.59063492,
100000,,4020,10.45107474,5.15173463,
100000,,4030,16.70541105,-6.25433631,
100000,,4040,10.41408169,6.29132936,
100000,,4050,12.66043545,-2.24635376,
100000,,4060,11.43252779,1.22790766,
100000,,4070,10.88562232,0.54690547,
100000,,4080,11.23005862,-0.3444363,
100000,,4090,13.03160013,-1.80154151,
100000,,4100,16.29090622,-3.25930609,
100000,,4110,12.41094481,3.87996141,
100000,,4120,10.63660771,1.7743371,
100000,,4130,13.92243413,-3.28582642,
100000,,4140,11.90882875,2.01360538,
100000,,4150,10.92972413,0.97910462,
100000,,4160,10.08853155,0.84119258,
100000,,4170,10.61067273,-0.52214118,
100000,,4180,10.81801859,-0.20734586,
100000,,4190,11.1016884,-0.28366981,
100000,,4200,10.00859681,1.09309159,
100000,,4210,11.55984369,-1.55124688,
100000,,4220,11.87177223,-0.31192854,
100000,,4230,12.97011078,-1.09833855,
100000,,4240,9.20654471,3.76356607,
100000,,4250,10.71621805,-1.50967334,
100000,,4260,14.78237182,-4.06615377,
100000,,4270,10.95377261,3.82859921,
100000,,4280,11.83696188,-0.88318927,
100000,,4290,10.86715577,0.96980611,
100000,,4300,12.56135712,-1.69420135,
100000,,4310,10.88526618,1.67609094,
100000,,4320,12.26906583,-1.38379965,
100000,,4330,14.26697974,-1.99791391,
100000,,4340,11.89693851,2.37004123,
100000,,4350,15.74383502,-3.84689651,
100000,,4360,11.50989197,4.23394305,
100000,,4370,15.96097306,-4.45108109,
100000,,4380,11.82982843,4.13114463,
100000,,4390,13.6273889,-1.79756047,
100000,,4400,10.43176896,3.19561994,
100000,,4410,10.34438341,0.08738555,
100000,,4420,9.83127981,0.5131036,
100000,,4430,10.64700638,-0.81572657,
100000,,4440,8.8191385,1.82786788,
100000,,4450,12.53668451,-3.71754601,
100000,,4460,10.74994587,1.78673864,
100000,,4470,12.30883398,-1.55888811,
100000,,4480,10.56918029,1.73965369,
100000,,4490,12.39673787,-1.82755758,
100000,,4500,10.34107939,2.05565848,
100000,,4510,13.1262919,-2.78521251,
100000,,4520,9.16745359,3.95883831,
100000,,4530,9.54896052,-0.38150693,
